Designator,Mid X,Mid Y,Rotation,Layer
J15,556.995,-188.5,0.0,top
J16,441.0,-49.0,90.0,top
J17,406.921,-25.5766,90.0,top
J18,395.15,-25.575,90.0,top
J19,476.3,-188.9,180.0,top
J2,392.01,-132.19,0.0,top
J20,442.9875,-69.18,0.0,top
J21,448.13,-222.3,0.0,top
J22,448.13,-237.65,0.0,top
J23,448.13,-253.0,0.0,top
J24,451.1825,-307.63,0.0,top
J25,301.25,-46.25,90.0,top
J26,317.6,-53.730127,90.0,top
J3,419.0,-25.575,90.0,top
J4,382.9,-25.069873,90.0,top
J5,556.995,-156.305,0.0,top
J6,556.995,-162.68,0.0,top
J7,556.995,-169.055,0.0,top
J8,359.7,-132.19,0.0,top
J9,401.01,-132.15,0.0,top
R1,199.2875,-196.5,180.0,top
R10,318.8225,-290.1025,180.0,top
R11,530.5,-145.25,90.0,top
R12,535.96,-145.25,90.0,top
R13,552.75,-154.305,0.0,top
R14,552.75,-157.469,0.0,top
R15,490.4,-156.64,180.0,top
R16,490.4,-144.0,180.0,top
R17,490.4,-148.5,180.0,top
R18,490.4,-152.64,180.0,top
R19,552.2,-140.1,0.0,top
R2,535.77,-188.2,0.0,top
R20,552.75,-160.855,0.0,top
R21,552.75,-163.805,0.0,top
R22,552.75,-167.355,0.0,top
R23,552.75,-173.805,0.0,top
R24,552.75,-170.455,0.0,top
R25,552.75,-176.955,0.0,top
R26,552.77,-180.5,0.0,top
R27,535.77,-155.555,0.0,top
R28,552.75,-183.755,0.0,top
R29,535.77,-161.9925,0.0,top
R3,552.75,-190.8,0.0,top
R30,535.77,-181.605,0.0,top
R31,535.77,-174.8675,0.0,top
R32,535.77,-168.43,0.0,top
R33,404.01,-167.48,180.0,top
R34,358.01,-175.28,0.0,top
R35,358.11,-179.48,0.0,top
R36,358.01,-183.68,0.0,top
R37,358.01,-187.88,0.0,top
R38,357.7,-76.2,0.0,top
R39,357.9,-90.4,0.0,top
R4,552.75,-187.5,0.0,top
R40,357.9,-85.2,0.0,top
R41,357.9,-80.4,0.0,top
R42,330.6275,-301.2475,0.0,top
R43,334.6275,-300.4475,90.0,top
R44,489.5,-179.4,0.0,top
R45,193.64375,-113.8625,180.0,top
R46,193.64375,-126.6125,180.0,top
R47,522.1,-183.3,0.0,top
R48,193.64375,-122.3625,180.0,top
R49,193.64375,-118.1125,180.0,top
R5,388.0,-77.5,180.0,top
R50,462.43,-216.1,0.0,top
R51,462.43,-219.05,0.0,top
R52,462.43,-222.0,0.0,top
R53,462.43,-224.95,0.0,top
R54,462.43,-227.9,0.0,top
R55,462.43,-230.85,0.0,top
R56,462.43,-233.8,0.0,top
R57,457.2875,-61.98,0.0,top
R58,457.2875,-64.93,0.0,top
R59,457.2875,-67.88,0.0,top
R6,388.0,-90.1,180.0,top
R60,457.2875,-70.83,0.0,top
R61,457.2875,-73.78,0.0,top
R62,480.6825,-289.17,0.0,top
R63,480.6825,-292.12,0.0,top
R64,480.6825,-295.07,0.0,top
R65,480.6825,-298.02,0.0,top
R66,480.6825,-300.97,0.0,top
R67,465.4825,-301.43,0.0,top
R68,465.4825,-304.38,0.0,top
