Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D56,LED_PWR,LED_0603_1608Metric,501.5,-38.75,0.0,top
D57,LED_PWR,LED_0603_1608Metric,516.75,-42.25,0.0,top
D58,TXD,LED_0603_1608Metric,516.75,-45.5,0.0,top
D59,RXD,LED_0603_1608Metric,516.75,-48.95,0.0,top
D6,LED_PWR,LED_0603_1608Metric,532.486,-115.084,90.0,top
D60,LED_PWR,LED_0603_1608Metric,290.55,-38.65,0.0,top
D61,LED_PWR,LED_0603_1608Metric,305.8,-42.15,0.0,top
D62,TXD,LED_0603_1608Metric,305.8,-45.4,0.0,top
D63,RXD,LED_0603_1608Metric,305.8,-48.85,0.0,top
D64,LED_PWR,LED_0603_1608Metric,425.25,-38.65,0.0,top
D65,LED_PWR,LED_0603_1608Metric,440.5,-42.15,0.0,top
D66,TXD,LED_0603_1608Metric,440.5,-45.4,0.0,top
D67,RXD,LED_0603_1608Metric,440.5,-48.85,0.0,top
D68,LED_PWR,LED_0603_1608Metric,208.65,-38.3949,0.0,top
D69,LED_PWR,LED_0603_1608Metric,223.9,-41.8949,0.0,top
D7,LED_PWR,LED_0603_1608Metric,532.486,-134.911,90.0,top
D70,TXD,LED_0603_1608Metric,223.9,-45.1449,0.0,top
D71,RXD,LED_0603_1608Metric,223.9,-48.5949,0.0,top
D8,LED_PWR,LED_0603_1608Metric,532.486,-128.302,90.0,top
D9,LED_PWR,LED_0603_1608Metric,532.486,-121.693,90.0,top
J1,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,369.69,-76.97,0.0,top
J10,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-128.35,0.0,top
J11,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-134.725,0.0,top
J12,AUDIO_OUT,NS-Tech_Grove_1x04_P2mm_Vertical,290.75,-178.7,-90.0,top
J15,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-141.42,0.0,top
J18,LCD_display,PinHeader_1x04_P1.00mm_Horizontal,246.55,-34.7599,90.0,top
J2,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,393.0,-76.97,0.0,top
J21,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,314.5,-177.475,-90.0,top
J22,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,448.0,-177.475,-90.0,top
J25,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,385.6,-177.375,-90.0,top
J26,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,369.25,-177.9199,-90.0,top
J27,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,512.25,-35.525,90.0,top
J28,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,528.6,-34.9801,90.0,top
J29,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,301.3,-35.425,90.0,top
J3,LCD_display,PinHeader_1x04_P1.00mm_Horizontal,463.05,-34.975,90.0,top
J30,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,317.65,-34.8801,90.0,top
J31,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,436.0,-35.425,90.0,top
J32,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,452.35,-34.8801,90.0,top
J33,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,219.4,-35.1699,90.0,top
J34,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,235.75,-34.625,90.0,top
J4,LCD_display,PinHeader_1x04_P1.00mm_Horizontal,328.4,-34.975,90.0,top
J5,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-109.225,0.0,top
J6,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-115.6,0.0,top
J7,INA219_CONFIG,PinHeader_1x02_P1.00mm_Horizontal,557.555,-121.975,0.0,top
J8,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,360.69,-76.97,0.0,top
J9,FPGA I/O,PinSocket_1x24_P2.54mm_Vertical,402.0,-76.93,0.0,top
R1,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.2875,-177.5,180.0,top
R10,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,239.305,-97.6,180.0,top
R100,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,234.65,-38.8949,-90.0,top
R101,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,227.9,-45.1449,180.0,top
R102,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,227.9383,-48.5971,180.0,top
R11,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,531.06,-97.82,90.0,top
R12,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.52,-97.82,90.0,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-107.225,0.0,top
R14,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-110.389,0.0,top
R15,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.77,-109.56,180.0,top
R16,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.77,-96.92,180.0,top
R17,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.77,-101.42,180.0,top
R18,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.77,-105.56,180.0,top
R2,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-141.12,0.0,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-113.775,0.0,top
R21,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-116.725,0.0,top
R22,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-120.275,0.0,top
R23,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-126.725,0.0,top
R24,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-123.375,0.0,top
R25,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-129.875,0.0,top
R26,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.33,-133.42,0.0,top
R27,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-108.475,0.0,top
R28,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-136.675,0.0,top
R29,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-114.9125,0.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-143.72,0.0,top
R30,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-134.525,0.0,top
R31,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-127.7875,0.0,top
R32,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.33,-121.35,0.0,top
R33,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,403.51,-112.96,180.0,top
R34,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,357.1,-119.58,0.0,top
R35,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,357.2,-123.78,0.0,top
R36,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,357.1,-127.98,0.0,top
R37,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,357.1,-132.18,0.0,top
R38,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,283.95,-141.7,0.0,top
R39,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,284.15,-155.9,0.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,553.31,-140.42,0.0,top
R40,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,284.15,-150.7,0.0,top
R41,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,284.15,-145.9,0.0,top
R42,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,243.305,-99.5,90.0,top
R43,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,243.305,-106.0,-90.0,top
R44,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.06,-132.32,0.0,top
R45,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.6438,-94.8625,180.0,top
R46,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.6438,-107.6125,180.0,top
R47,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,523.81,-132.42,0.0,top
R48,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.6438,-103.3625,180.0,top
R49,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,193.6438,-99.1125,180.0,top
R5,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,419.7,-142.4,180.0,top
R50,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,319.0,-172.0,180.0,top
R53,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,536.0,-57.0,0.0,top
R54,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,451.0,-86.0,0.0,top
R55,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,318.69,-81.126,0.0,top
R56,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,452.5,-172.0,180.0,top
R57,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,241.4,-61.378,0.0,top
R6,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,419.7,-155.0,180.0,top
R7,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,419.7,-150.8,180.0,top
R72,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,392.35,-174.15,180.0,top
R73,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,490.56,-145.42,0.0,top
