pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
89.4425,-145.81,180.0,bottom,SW1,,,SW_SPST_FSMSM,FAIL_RST,smt
89.4425,-140.06,180.0,bottom,SW2,,,SW_SPST_FSMSM,FAIL_RST,smt
92.5,-89.832,180.0,bottom,TH1,,,Heraeus_TO-92-2,10k,tht
98.85,-67.582,180.0,bottom,TH2,,,Heraeus_TO-92-2,10k,tht
86.46,-131.318,0.0,bottom,TH3,,,Heraeus_TO-92-2,10k,tht
101.55,-94.832,180.0,bottom,TH4,,,Heraeus_TO-92-2,10k,tht
104.46,-131.268,0.0,bottom,TH5,,,Heraeus_TO-92-2,10k,tht
64.95,-62.615,0.0,top,U1,,None,ST_Morpho_and_Zio_Connectors_144_STLink,NUCLEO-H753ZI,tht
83.0,-99.65,180.0,bottom,U13,,,SOIC-8_3.9x4.9mm_P1.27mm,INA219AxD,smt
83.755,-82.95,-90.0,bottom,U38,,,SOIC-16_3.9x9.9mm_P1.27mm,CH340G,smt
91.14,-71.7,180.0,bottom,Y7,,,Crystal_HC49-4H_Vertical,12MHz,tht
