Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins,DigiKey_Part_Number,Price,MF,Description_1,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Availability,MANUFACTURER
TP2,1,DAC_L_TP,TestPoint_THTPad_D2.5mm_Drill1.2mm,,,,tht,test point,,,,,,,,,,,,
TP3,1,THRM_A,TestPoint_Pad_1.5x1.5mm,,,,tht,test point,,,,,,,,,,,,
TP4,1,THRM_B,TestPoint_Pad_1.5x1.5mm,,,,tht,test point,,,,,,,,,,,,
TP5,1,THRM_C,TestPoint_Pad_1.5x1.5mm,,,,tht,test point,,,,,,,,,,,,
TP6,1,THRM_D,TestPoint_Pad_1.5x1.5mm,,,,tht,test point,,,,,,,,,,,,
TP7,1,THRM_E,TestPoint_Pad_1.5x1.5mm,,,,tht,test point,,,,,,,,,,,,
U1,1,NUCLEO-H753ZI,ST_Morpho_and_Zio_Connectors_144_STLink,None,,,tht,,,,None,STMicroelectronics,STM32H753ZI Nucleo-144 STM32H7 ARM® Cortex®-M7 MCU 32-Bit Embedded Evaluation Board,https://www.snapeda.com/parts/NUCLEO-H753ZI/STMicroelectronics/view-part/?ref=eda,Manufacturer Recommendations,Rev. 2,https://www.snapeda.com/parts/NUCLEO-H753ZI/STMicroelectronics/view-part/?ref=snap,NUCLEO-H753ZI,In Stock,STMicroelectronics
U13,1,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,,,,smt,"Zero-Drift, Bidirectional Current/Power Monitor (0-26V) With I2C Interface, SOIC-8",,,,,,,,,,,,
U38,1,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,"USB serial converter, UART, SOIC-16",,,,,,,,,,,,
Y7,1,12MHz,Crystal_HC49-4H_Vertical,,,,tht,Two pin crystal,,,,,,,,,,,,
