Frequency [MHz],|S0-0| [-],|S1-0| [-],|S2-0| [-],|S3-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Arg(S2-0) [rad],Arg(S3-0) [rad],Delay 0>0 [s],Delay 0>1 [s],Delay 0>2 [s],Delay 0>3 [s],|Z0| [Ohm],Arg(Z0) [rad]
2.686800e+03, 6.877405e-01, 1.508487e-06, 6.286269e-02, 2.996314e-06, -8.062775e-01, -1.533720e+00, -7.768223e-01, -1.298640e+00, 1.543514e-10, 3.836485e-11, 5.900374e-11, 6.614480e-11, 1.078845e+02, -1.082747e+00
2.689700e+03, 6.892400e-01, 1.509499e-06, 6.290762e-02, 2.999045e-06, -8.090900e-01, -1.534419e+00, -7.778974e-01, -1.299845e+00, 1.532296e-10, 3.777034e-11, 5.829906e-11, 6.554751e-11, 1.076263e+02, -1.086380e+00
2.692600e+03, 6.907186e-01, 1.510502e-06, 6.295191e-02, 3.001746e-06, -8.118820e-01, -1.535107e+00, -7.789597e-01, -1.301040e+00, 1.521813e-10, 3.714864e-11, 5.753641e-11, 6.491866e-11, 1.073687e+02, -1.089953e+00
2.695500e+03, 6.921783e-01, 1.511476e-06, 6.299564e-02, 3.004417e-06, -8.146549e-01, -1.535784e+00, -7.800080e-01, -1.302223e+00, 1.510413e-10, 3.656767e-11, 5.677642e-11, 6.431110e-11, 1.071118e+02, -1.093472e+00
2.698400e+03, 6.936191e-01, 1.512452e-06, 6.303867e-02, 3.007059e-06, -8.174071e-01, -1.536450e+00, -7.810426e-01, -1.303394e+00, 1.499797e-10, 3.595110e-11, 5.602036e-11, 6.373753e-11, 1.068558e+02, -1.096935e+00
2.701300e+03, 6.950401e-01, 1.513399e-06, 6.308113e-02, 3.009681e-06, -8.201399e-01, -1.537105e+00, -7.820633e-01, -1.304556e+00, 1.489343e-10, 3.535808e-11, 5.526740e-11, 6.305377e-11, 1.066005e+02, -1.100343e+00
2.704200e+03, 6.964428e-01, 1.514337e-06, 6.312303e-02, 3.012263e-06, -8.228537e-01, -1.537750e+00, -7.830704e-01, -1.305705e+00, 1.477969e-10, 3.476318e-11, 5.451749e-11, 6.248687e-11, 1.063460e+02, -1.103698e+00
2.707100e+03, 6.978269e-01, 1.515266e-06, 6.316435e-02, 3.014825e-06, -8.255467e-01, -1.538383e+00, -7.840638e-01, -1.306843e+00, 1.466744e-10, 3.417724e-11, 5.377058e-11, 6.187551e-11, 1.060925e+02, -1.106999e+00
2.710000e+03, 6.991939e-01, 1.516186e-06, 6.320510e-02, 3.017357e-06, -8.282193e-01, -1.539006e+00, -7.850435e-01, -1.307971e+00, 1.456282e-10, 3.357085e-11, 5.302664e-11, 6.123251e-11, 1.058403e+02, -1.110250e+00
2.712900e+03, 7.005428e-01, 1.517087e-06, 6.324527e-02, 3.019859e-06, -8.308728e-01, -1.539617e+00, -7.860097e-01, -1.309086e+00, 1.445424e-10, 3.298510e-11, 5.228542e-11, 6.063978e-11, 1.055890e+02, -1.113450e+00
2.715800e+03, 7.018745e-01, 1.517980e-06, 6.328500e-02, 3.022342e-06, -8.335066e-01, -1.540218e+00, -7.869624e-01, -1.310191e+00, 1.434744e-10, 3.238653e-11, 5.154704e-11, 6.006732e-11, 1.053389e+02, -1.116601e+00
2.718700e+03, 7.031887e-01, 1.518853e-06, 6.332416e-02, 3.024803e-06, -8.361208e-01, -1.540809e+00, -7.879017e-01, -1.311286e+00, 1.423082e-10, 3.181507e-11, 5.087253e-11, 5.945122e-11, 1.050900e+02, -1.119702e+00
2.721600e+03, 7.044867e-01, 1.519727e-06, 6.336280e-02, 3.027235e-06, -8.387139e-01, -1.541388e+00, -7.888286e-01, -1.312369e+00, 1.413270e-10, 3.122012e-11, 5.007811e-11, 5.884952e-11, 1.048426e+02, -1.122755e+00
2.724500e+03, 7.057679e-01, 1.520582e-06, 6.340092e-02, 3.029647e-06, -8.412890e-01, -1.541957e+00, -7.897411e-01, -1.313441e+00, 1.401946e-10, 3.064116e-11, 4.940810e-11, 5.826801e-11, 1.045963e+02, -1.125762e+00
2.727400e+03, 7.070327e-01, 1.521428e-06, 6.343867e-02, 3.032038e-06, -8.438435e-01, -1.542516e+00, -7.906414e-01, -1.314503e+00, 1.391302e-10, 3.006373e-11, 4.868018e-11, 5.768913e-11, 1.043514e+02, -1.128721e+00
2.730300e+03, 7.082819e-01, 1.522265e-06, 6.347584e-02, 3.034408e-06, -8.463787e-01, -1.543063e+00, -7.915284e-01, -1.315554e+00, 1.380817e-10, 2.948420e-11, 4.795409e-11, 5.706739e-11, 1.041079e+02, -1.131636e+00
2.733200e+03, 7.095153e-01, 1.523093e-06, 6.351255e-02, 3.036748e-06, -8.488947e-01, -1.543601e+00, -7.924022e-01, -1.316594e+00, 1.369905e-10, 2.891695e-11, 4.723031e-11, 5.650436e-11, 1.038659e+02, -1.134506e+00
2.736100e+03, 7.107335e-01, 1.523912e-06, 6.354880e-02, 3.039078e-06, -8.513908e-01, -1.544127e+00, -7.932628e-01, -1.317624e+00, 1.359727e-10, 2.833453e-11, 4.650881e-11, 5.588818e-11, 1.036253e+02, -1.137333e+00
2.739000e+03, 7.119357e-01, 1.524711e-06, 6.358461e-02, 3.041377e-06, -8.538684e-01, -1.544644e+00, -7.941102e-01, -1.318642e+00, 1.349042e-10, 2.777976e-11, 4.584998e-11, 5.534730e-11, 1.033862e+02, -1.140115e+00
2.741900e+03, 7.131241e-01, 1.525512e-06, 6.362002e-02, 3.043665e-06, -8.563265e-01, -1.545150e+00, -7.949457e-01, -1.319651e+00, 1.337995e-10, 2.721318e-11, 4.513279e-11, 5.478115e-11, 1.031486e+02, -1.142857e+00
2.744800e+03, 7.142977e-01, 1.526303e-06, 6.365498e-02, 3.045932e-06, -8.587645e-01, -1.545646e+00, -7.957681e-01, -1.320649e+00, 1.327676e-10, 2.664631e-11, 4.447803e-11, 5.418255e-11, 1.029127e+02, -1.145558e+00
2.747700e+03, 7.154558e-01, 1.527074e-06, 6.368955e-02, 3.048178e-06, -8.611837e-01, -1.546131e+00, -7.965785e-01, -1.321636e+00, 1.317332e-10, 2.609510e-11, 4.376502e-11, 5.360388e-11, 1.026784e+02, -1.148216e+00
2.750600e+03, 7.166011e-01, 1.527847e-06, 6.372366e-02, 3.050404e-06, -8.635841e-01, -1.546607e+00, -7.973760e-01, -1.322613e+00, 1.307202e-10, 2.554335e-11, 4.317431e-11, 5.305418e-11, 1.024456e+02, -1.150836e+00
2.753500e+03, 7.177322e-01, 1.528610e-06, 6.375745e-02, 3.052618e-06, -8.659659e-01, -1.547072e+00, -7.981627e-01, -1.323580e+00, 1.296622e-10, 2.498932e-11, 4.240355e-11, 5.249737e-11, 1.022145e+02, -1.153417e+00
2.756400e+03, 7.188496e-01, 1.529364e-06, 6.379084e-02, 3.054811e-06, -8.683286e-01, -1.547528e+00, -7.989353e-01, -1.324536e+00, 1.286173e-10, 2.444374e-11, 4.175641e-11, 5.195167e-11, 1.019850e+02, -1.155959e+00
2.759300e+03, 7.199532e-01, 1.530109e-06, 6.382383e-02, 3.056993e-06, -8.706721e-01, -1.547973e+00, -7.996962e-01, -1.325483e+00, 1.276343e-10, 2.391102e-11, 4.111107e-11, 5.133836e-11, 1.017572e+02, -1.158463e+00
2.762200e+03, 7.210438e-01, 1.530854e-06, 6.385643e-02, 3.059143e-06, -8.729978e-01, -1.548409e+00, -8.004452e-01, -1.326418e+00, 1.265562e-10, 2.336401e-11, 4.040583e-11, 5.084019e-11, 1.015310e+02, -1.160931e+00
2.765100e+03, 7.221212e-01, 1.531589e-06, 6.388869e-02, 3.061292e-06, -8.753038e-01, -1.548834e+00, -8.011815e-01, -1.327345e+00, 1.256460e-10, 2.282484e-11, 3.976401e-11, 5.027454e-11, 1.013067e+02, -1.163362e+00
2.768000e+03, 7.231861e-01, 1.532306e-06, 6.392056e-02, 3.063420e-06, -8.775932e-01, -1.549250e+00, -8.019060e-01, -1.328261e+00, 1.245335e-10, 2.229527e-11, 3.918354e-11, 4.975401e-11, 1.010838e+02, -1.165758e+00
2.770900e+03, 7.242382e-01, 1.533023e-06, 6.395209e-02, 3.065536e-06, -8.798624e-01, -1.549657e+00, -8.026200e-01, -1.329167e+00, 1.235878e-10, 2.177716e-11, 3.848328e-11, 4.917515e-11, 1.008628e+02, -1.168118e+00
2.773800e+03, 7.252783e-01, 1.533740e-06, 6.398329e-02, 3.067630e-06, -8.821143e-01, -1.550053e+00, -8.033212e-01, -1.330063e+00, 1.226529e-10, 2.124889e-11, 3.784415e-11, 4.870085e-11, 1.006435e+02, -1.170445e+00
2.776700e+03, 7.263065e-01, 1.534448e-06, 6.401422e-02, 3.069722e-06, -8.843492e-01, -1.550440e+00, -8.040108e-01, -1.330951e+00, 1.216224e-10, 2.072533e-11, 3.732994e-11, 4.812573e-11, 1.004258e+02, -1.172740e+00
2.779600e+03, 7.273224e-01, 1.535146e-06, 6.404475e-02, 3.071792e-06, -8.865653e-01, -1.550818e+00, -8.046910e-01, -1.331827e+00, 1.206030e-10, 2.020645e-11, 3.657256e-11, 4.761228e-11, 1.002099e+02, -1.175000e+00
2.782500e+03, 7.283260e-01, 1.535835e-06, 6.407501e-02, 3.073851e-06, -8.887628e-01, -1.551186e+00, -8.053574e-01, -1.332695e+00, 1.196892e-10, 1.970265e-11, 3.599955e-11, 4.705852e-11, 9.999579e+01, -1.177227e+00
2.785400e+03, 7.293188e-01, 1.536525e-06, 6.410493e-02, 3.075887e-06, -8.909437e-01, -1.551545e+00, -8.060133e-01, -1.333553e+00, 1.186793e-10, 1.918921e-11, 3.542792e-11, 4.657310e-11, 9.978331e+01, -1.179424e+00
